criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No
entropy,25,5,2,0.9043418373506459,1.1102230246251565e-16,4.679,0
entropy,28,16,2,0.9043418373506459,1.1102230246251565e-16,4.762,1
gini,23,16,2,0.9043418373506459,1.1102230246251565e-16,5.18,2
entropy,24,4,5,0.9034129223322569,0.0007416507293651646,4.593,3
entropy,19,18,3,0.9030657674567848,0.00018466169569470486,5.205,4
entropy,13,18,7,0.9023596243839946,0.00023254101380930543,5.226,5
gini,23,4,7,0.9028113800685432,0.0005235572498245195,4.47,6
entropy,16,7,5,0.9033044741928042,0.0011343872244047794,4.486,7
gini,25,19,7,0.9026739445370323,0.0007700628790841911,5.529,8
entropy,13,11,8,0.9031713954954947,0.0007524281072253141,4.765,9
