criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No
gini,14,16,6,0.4293912999592681,0.0010055666749639424,4.244,0
entropy,18,12,5,0.42848621310795043,9.599445323089651e-05,3.992,1
entropy,24,19,3,0.4311547796578205,0.0004654925579039349,4.188,2
entropy,16,17,8,0.42819442745674674,0.00015169655871381818,4.246,3
gini,23,22,7,0.4298940832967501,0.0,4.332,4
entropy,9,5,2,0.40863225604707587,0.014803086646711787,4.073,5
entropy,31,22,4,0.4313875259367725,0.0,4.383,6
entropy,25,18,3,0.43012606778673135,0.00011972167820276554,4.212,7
entropy,10,5,5,0.42240536122086014,0.005740578036931009,3.903,8
gini,10,7,8,0.4225900729535764,0.005102482534021119,4.095,9
